internal_ID,RA,Dec,S_RF,S_colour,Sep_max,Sep_min,Sep_mean,Grade,Grade_by_LR,NUM_OF_IMG,in_KLQ,in_D22,in_L22,Grade_by_D22,Classification_by_L22,q,phi,rein,minimised_chi2,BIC,NOTE
11111209,319.6633912,-59.2362782,0.98,0.68,2.196566217,2.196566217,2.196566217,B,C,2,0,0,0,,,,,,,,
11111260,332.4120101,-59.2611906,0.97,0.84,2.618978309,2.618978309,2.618978309,B,C,2,0,0,0,,,,,,,,
11111546,86.1276067,-59.37716263,0.98,0.81,1.252346219,1.252346219,1.252346219,A,C,2,0,1,0,A,,,,,,,
11112104,82.5119812,-59.61562856,0.96,0.65,2.155838453,2.155838453,2.155838453,B,B,2,0,0,0,,,,,,,,
11114297,75.0575133,-60.34908185,0.94,0.72,1.452348825,1.452348825,1.452348825,C,A,2,0,0,0,,,,,,,,
11116083,59.62041518,-60.75967859,0.98,0.71,2.911494628,2.911494628,2.911494628,B,A,2,0,0,0,,,,,,,,
11116236,342.5327016,-60.78998018,0.92,0.66,1.984663155,1.984663155,1.984663155,C,A,2,0,1,0,C,,,,,,,
11118974,69.44396873,-61.23279436,0.97,0.89,2.140300468,2.140300468,2.140300468,B,C,2,0,0,0,,,,,,,,host galaxy?
11119191,79.70309649,-61.26003011,0.93,0.88,3.52246253,2.809065208,3.165763869,C,C,3,0,0,0,,,,,,,,visible lens
11119759,14.57042009,-61.33450419,0.94,0.75,3.052465808,3.052465808,3.052465808,B,B,2,0,0,0,,,,,,,,
11120009,54.78700909,-61.36245176,0.99,0.92,1.26208515,1.26208515,1.26208515,A,B,2,0,1,1,A,lens,,,,,,
11122831,79.87199917,-61.61995388,0.96,0.73,2.461073795,2.461073795,2.461073795,C,A,2,0,0,0,,,,,,,,
11128474,352.2302702,-61.97336922,0.97,0.73,2.110296127,2.110296127,2.110296127,C,A,2,0,0,0,,,,,,,,
11129276,70.41937127,-62.01843567,0.98,0.58,3.28938653,3.28938653,3.28938653,C,C,2,0,0,0,,,,,,,,
11139339,78.92525443,-62.44704719,0.9,0.71,1.859502983,1.859502983,1.859502983,A,C,2,0,0,0,,,,,,,,
11222806,335.4396239,-63.33658063,0.96,0.91,3.213835153,3.213835153,3.213835153,C,C,2,0,1,0,C,,,,,,,
11224697,75.51187586,-63.41248894,0.97,0.78,4.528222497,4.528222497,4.528222497,A,A,2,0,0,0,,,0.998,60.249,2.254,2.040124863,14.83080654,obvious lens
11314442,67.30559733,-64.58321216,0.91,0.82,1.640748238,1.640748238,1.640748238,C,A,2,0,0,0,,,,,,,,
11316923,60.13302966,-64.73149807,0.96,0.69,1.072161586,1.072161586,1.072161586,A,C,2,0,1,0,A,,,,,,,
11318620,50.39687673,-64.8327624,0.97,0.9,0.628662161,0.628662161,0.628662161,A,C,2,0,1,0,C,,,,,,,
11321422,63.32727056,-65.09548709,0.9,0.81,1.916905512,1.916905512,1.916905512,C,B,2,0,0,0,,,,,,,,
11321530,70.4874775,-65.10662146,0.97,0.58,2.146118276,2.146118276,2.146118276,C,A,2,0,0,0,,,,,,,,
11413195,136.7937304,0.055768133,0.94,0.87,0.491420373,0.491420372,0.491420372,B,A,2,1,0,0,,,,,,,,
11414189,186.5333982,-0.100636743,0.99,0.83,0.629081875,0.629081875,0.629081875,B,B,2,1,0,0,,,,,,,,
11414636,49.19381479,-0.16042489,0.95,0.83,4.4663383,4.4663383,4.4663383,C,C,2,0,1,0,C,,,,,,,
11418744,28.70951626,-0.804713012,0.98,0.91,2.273603849,2.273603849,2.273603849,C,A,2,0,0,0,,,,,,,,
11419063,171.041199,-0.858748612,0.96,0.74,2.612250654,2.612250654,2.612250654,C,C,2,0,1,0,C,,,,,,,
11419327,337.080901,-0.887599259,0.92,0.53,2.769179194,2.750925887,2.760052541,C,B,3,0,0,0,,,,,,,,"interesting case, quad"
11421719,180.1501026,-1.29273836,0.97,0.77,2.260595676,2.260595676,2.260595676,B,B,2,0,1,0,B,,,,,,,
11422178,136.2059289,-1.36977469,0.94,0.83,3.319934681,3.319934681,3.319934681,C,C,2,0,1,0,C,,,,,,,
11423437,7.790893837,-1.577536226,0.97,0.71,2.888004168,2.888004168,2.888004168,C,A,2,0,0,0,,,,,,,,
11423488,313.4654918,-1.585158609,0.89,0.65,2.06785478,2.06785478,2.06785478,B,A,2,0,0,0,,,,,,,,
11425488,327.4990396,-1.974215217,0.98,0.87,2.290781027,2.290781027,2.290781027,B,A,2,0,0,0,,,,,,,,
11426150,37.74359622,-2.115577915,0.98,0.94,3.250758451,3.250758451,3.250758451,C,A,2,0,1,0,C,,,,,,,
11426442,346.7893246,-2.16352372,0.92,0.74,1.730255774,1.730255774,1.730255774,C,A,2,0,0,0,,,,,,,,
11426534,190.6486075,-2.180260281,0.98,0.87,2.38791036,2.38791036,2.38791036,C,B,2,0,0,0,,,,,,,,
11426584,33.46912682,-2.191787996,0.98,0.75,2.975558963,2.975558963,2.975558963,C,A,2,0,0,0,,,,,,,,
11426869,136.872219,-2.249731723,0.96,0.55,1.829315247,1.829315247,1.829315247,C,C,2,0,1,0,C,,,,,,,
11427379,185.9087889,-2.354516355,0.91,0.67,1.383958551,1.383958551,1.383958551,A,A,2,0,0,0,,,,,,,,
11427860,18.34813959,-2.443179515,0.91,0.93,0.55306388,0.55306388,0.55306388,B,B,2,0,1,0,A,,,,,,,
11429311,26.87090111,-2.715602633,0.88,0.94,2.421354689,2.421354689,2.421354689,C,A,2,0,0,0,,,,,,,,
